SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
TPA,06/24/2018,TP01180624,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/24/2018,TP01180624,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/25/2018,TP01180625,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/25/2018,TP01180625,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/26/2018,TP01180626,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/26/2018,TP01180626,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/27/2018,TP01180627,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/27/2018,TP01180627,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/28/2018,TP01180628,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/28/2018,TP01180628,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/29/2018,TP01180629,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/29/2018,TP01180629,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/30/2018,TP01180630,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/30/2018,TP01180630,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,07/01/2018,TP01180701,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,07/01/2018,TP01180701,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,07/02/2018,TP01180702,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
GDR,02/02/2018,GD02180202,Fri,SGSIN-SGSIN,BSA,FP,0,0,0,0
GDR,02/02/2018,GD02180202,Fri,SGSIN-SGSIN,BSS,FP,0,0,0,0
