SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
TPA,05/13/2018,TP01180513,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/14/2018,TP01180514,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/14/2018,TP01180514,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/15/2018,TP01180515,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/15/2018,TP01180515,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/16/2018,TP01180516,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/16/2018,TP01180516,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
SSQ,01/13/2018,SQ01180113,Sat,HKHKG-HKHKG,DB,FP,0,0,0,0
SSQ,01/13/2018,SQ01180113,Sat,HKHKG-HKHKG,DC,FP,0,0,0,0
SSQ,01/13/2018,SQ01180113,Sat,HKHKG-HKHKG,DD,FP,0,0,1,0
SSQ,01/13/2018,SQ01180113,Sat,HKHKG-HKHKG,DE,FP,0,0,13,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,AA,FP,0,0,12,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,AB,FP,0,0,4,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,AC,FP,0,0,4,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,AS,FP,0,0,1,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,BA,FP,0,0,37,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CA,FP,0,0,11,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CB,FP,0,0,92,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CC,FP,0,0,84,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CD,FP,0,0,87,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CF,FP,0,0,0,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CG,FP,0,0,63,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,CH,FP,0,0,29,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,DA,FP,0,0,0,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,DB,FP,0,0,0,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,DC,FP,0,0,23,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,DD,FP,0,0,16,0
SSQ,01/19/2018,SQ01180119,Fri,HKHKG-HKHKG,DE,FP,0,0,12,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,AA,FP,0,0,12,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,AB,FP,0,0,4,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,AC,FP,0,0,4,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,AS,FP,0,0,1,0
TPA,05/17/2018,TP01180517,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/17/2018,TP01180517,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/18/2018,TP01180518,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/18/2018,TP01180518,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/19/2018,TP01180519,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/19/2018,TP01180519,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/20/2018,TP01180520,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/20/2018,TP01180520,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/21/2018,TP01180521,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/21/2018,TP01180521,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/22/2018,TP01180522,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/22/2018,TP01180522,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/23/2018,TP01180523,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/23/2018,TP01180523,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/24/2018,TP01180524,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/24/2018,TP01180524,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
